"decision","photo_name","fish_ID","start_time"
"exclude_50_60","r00909_crop_l.b0029.36_start_120_resid_834.PNG","l.b0029.36",120
"exclude_50_60","r00930_crop_l.b0054.34_start_240_resid_825.PNG","l.b0054.34",240
"exclude_50_60","r00936_crop_l.b0045.39_start_120_resid_823.PNG","l.b0045.39",120
"exclude_50_60","r00948_crop_l.b0034.36_start_120_resid_820.PNG","l.b0034.36",120
"exclude_50_60","r00949_crop_w.b0050.22_start_270_resid_820.PNG","w.b0050.22",270
"exclude_50_60","r00960_crop_l.b0010.7_start_120_resid_816.PNG","l.b0010.7",120
"exclude_50_60","r00975_crop_w.b0021.11_start_270_resid_810.PNG","w.b0021.11",270
"exclude_50_60","r00978_crop_l.b0027.7_start_30_resid_808.PNG","l.b0027.7",30
"exclude_50_60","r01006_crop_l.b0022.43_start_210_resid_798.PNG","l.b0022.43",210
"exclude_50_60","r01008_crop_l.b0041.10_start_120_resid_798.PNG","l.b0041.10",120
"exclude_50_60","r01023_crop_l.b0035.33_start_240_resid_792.PNG","l.b0035.33",240
"exclude_50_60","r01027_crop_l.b0039.23_start_30_resid_791.PNG","l.b0039.23",30
"exclude_50_60","r01039_crop_w.b0048.14_start_0_resid_786.PNG","w.b0048.14",0
"exclude_50_60","r01041_crop_l.b0055.29_start_120_resid_785.PNG","l.b0055.29",120
"exclude_50_60","r01050_crop_l.b0044.22_start_150_resid_782.PNG","l.b0044.22",150
"exclude_50_60","r01055_crop_l.b0017.7_start_30_resid_780.PNG","l.b0017.7",30
"exclude_50_60","r01069_crop_l.b0016.34_start_240_resid_775.PNG","l.b0016.34",240
"exclude_50_60","r01092_crop_l.b0037.25_start_180_resid_767.PNG","l.b0037.25",180
"exclude_50_60","r01093_crop_l.b0039.38_start_120_resid_767.PNG","l.b0039.38",120
"exclude_50_60","r01114_crop_w.b0053.18_start_150_resid_760.PNG","w.b0053.18",150
"exclude_50_60","r01137_crop_w.b0047.17_start_240_resid_750.PNG","w.b0047.17",240
"exclude_50_60","r01140_crop_l.b0023.14_start_120_resid_749.PNG","l.b0023.14",120
"exclude_50_60","r01141_crop_l.b0039.49_start_150_resid_749.PNG","l.b0039.49",150
"exclude_50_60","r01142_crop_l.b0041.3_start_120_resid_749.PNG","l.b0041.3",120
"exclude_50_60","r01146_crop_l.b0030.9_start_30_resid_747.PNG","l.b0030.9",30
"exclude_50_60","r01155_crop_l.b0047.28_start_180_resid_743.PNG","l.b0047.28",180
"exclude_50_60","r01163_crop_l.b0019.25_start_150_resid_739.PNG","l.b0019.25",150
"exclude_50_60","r01169_crop_w.b0022.19_start_210_resid_738.PNG","w.b0022.19",210
"exclude_50_60","r01176_crop_w.b0027.1_start_240_resid_736.PNG","w.b0027.1",240
"exclude_50_60","r01187_crop_l.b0028.42_start_60_resid_733.PNG","l.b0028.42",60
"exclude_50_60","r01192_crop_l.b0048.1_start_120_resid_732.PNG","l.b0048.1",120
"exclude_50_60","r01199_crop_l.b0043.9_start_240_resid_730.PNG","l.b0043.9",240
"exclude_50_60","r01203_crop_l.b0043.38_start_240_resid_729.PNG","l.b0043.38",240
"exclude_50_60","r01211_crop_l.b0033.19_start_30_resid_726.PNG","l.b0033.19",30
"exclude_50_60","r01223_crop_l.b0051.20_start_240_resid_722.PNG","l.b0051.20",240
"exclude_50_60","r01228_crop_w.b0048.15_start_0_resid_720.PNG","w.b0048.15",0
"exclude_50_60","r01260_crop_l.b0022.48_start_150_resid_709.PNG","l.b0022.48",150
"exclude_50_60","r01276_crop_l.b0043.23_start_60_resid_706.PNG","l.b0043.23",60
"exclude_50_60","r01281_crop_l.b0049.41_start_0_resid_705.PNG","l.b0049.41",0
"exclude_50_60","r01288_crop_w.b0029.8_start_180_resid_704.PNG","w.b0029.8",180
"exclude_50_60","r01306_crop_w.b0036.16_start_60_resid_700.PNG","w.b0036.16",60
"exclude_50_60","r01334_crop_l.b0043.9_start_0_resid_693.PNG","l.b0043.9",0
"exclude_50_60","r01349_crop_l.b0033.44_start_120_resid_688.PNG","l.b0033.44",120
"exclude_50_60","r01371_crop_l.b0010.14_start_60_resid_682.PNG","l.b0010.14",60
